time,close,volume
1505797200000,3901.01,0
1505800800000,3961.64,0
1505804400000,3911.42,0
1505808000000,3957.89,0
1505811600000,3963.47,0
1505815200000,4022.02,0
1505818800000,3999.83,0
1505822400000,4014.68,0
1505826000000,3956.05,0
1505829600000,3978.08,0
1505833200000,4012.5,0
1505836800000,3997.51,0
1505840400000,3995.31,0
1505844000000,3985.85,0
1505847600000,3903.99,0
1505851200000,3899.46,0
1505854800000,3902.8,0
1505858400000,3921.53,0
1505862000000,3900.1,0
1505865600000,3908.94,0
1505869200000,3886.77,0
1505872800000,3892.14,0
1505876400000,3884.59,0
1505880000000,3856.71,0
1505883600000,3898.42,0
1505887200000,3948.74,0
1505890800000,3945.05,0
1505894400000,3937.76,0
1505898000000,3922.03,0
1505901600000,3925.49,0
1505905200000,3916.29,0
1505908800000,3931.48,0
1505912400000,4008.24,0
1505916000000,4012.49,0
1505919600000,3994.29,0
1505923200000,4018.23,0
1505926800000,3992.36,0
1505930400000,3994.92,0
1505934000000,3950.71,0
1505937600000,3959.17,0
1505941200000,3943.2,0
1505944800000,3952.84,0
1505948400000,3873.4,0
1505952000000,3841.12,0
1505955600000,3849.63,0
1505959200000,3881.86,0
1505962800000,3832.11,0
1505966400000,3864.14,0
1505970000000,3870.89,0
1505973600000,3872.28,0
1505977200000,3897.97,0
1505980800000,3862.93,0
1505984400000,3861.25,0
1505988000000,3893.38,0
1505991600000,3861.64,0
1505995200000,3857.03,0
1505998800000,3864.98,0
1506002400000,3778.94,0
1506006000000,3752.48,0
1506009600000,3692.19,0
1506013200000,3685.24,0
1506016800000,3696.78,0
1506020400000,3631.85,0
1506024000000,3653.56,0
1506027600000,3647.24,0
1506031200000,3624,0
1506034800000,3617.24,0
1506038400000,3653.51,0
1506042000000,3652.14,0
1506045600000,3634.77,0
1506049200000,3697.59,0
1506052800000,3732.25,0
1506056400000,3722.29,0
1506060000000,3751.06,0
1506063600000,3677.03,0
1506067200000,3668.65,0
1506070800000,3615.45,0
1506074400000,3599.19,0
1506078000000,3556.73,0
1506081600000,3609.01,0
1506085200000,3571.76,0
1506088800000,3597.5,0
1506092400000,3533.29,0
1506096000000,3563.5,0
1506099600000,3555.53,0
1506103200000,3558.97,0
1506106800000,3592.97,0
1506110400000,3615.65,0
1506114000000,3624.47,0
1506117600000,3609.75,0
1506121200000,3611.51,0
1506124800000,3607.9,0
1506128400000,3593.59,0
1506132000000,3633.67,0
1506135600000,3621.04,0
1506139200000,3701.78,0
1506142800000,3695.8,0
1506146400000,3699.05,0
1506150000000,3694.25,0
1506153600000,3734.58,0
1506157200000,3720.05,0
1506160800000,3767.3,0
1506164400000,3801,0
1506168000000,3776,0
1506171600000,3782.25,0
1506175200000,3773.47,0
1506178800000,3734.01,0
1506182400000,3766.44,0
1506186000000,3738.95,0
1506189600000,3748.49,0
1506193200000,3771.35,0
1506196800000,3771.7,0
1506200400000,3735.27,0
1506204000000,3754.05,0
1506207600000,3782.11,0
1506211200000,3752.01,0
1506214800000,3773.05,0
1506218400000,3768.04,0
1506222000000,3776.15,0
1506225600000,3681.85,0
1506229200000,3689.96,0
1506232800000,3642.33,0
1506236400000,3664.01,0
1506240000000,3669.24,0
1506243600000,3668.68,0
1506247200000,3649.01,0
1506250800000,3684.84,0
1506254400000,3692.9,0
1506258000000,3720.49,0
1506261600000,3699.38,0
1506265200000,3705.69,0
1506268800000,3701.8,0
1506272400000,3684.51,0
1506276000000,3673.17,0
1506279600000,3693.95,0
1506283200000,3668.45,0
1506286800000,3667.27,0
1506290400000,3688.14,0
1506294000000,3664.03,0
1506297600000,3675.65,0
1506301200000,3684.99,0
1506304800000,3759.23,0
1506308400000,3763.94,0
1506312000000,3788.84,0
1506315600000,3770.9,0
1506319200000,3769.07,0
1506322800000,3773.15,0
1506326400000,3754.66,0
1506330000000,3751.14,0
1506333600000,3778.57,0
1506337200000,3766.55,0
1506340800000,3774.75,0
1506344400000,3772.54,0
1506348000000,3931.55,0
1506351600000,3928.97,0
1506355200000,3905.73,0
1506358800000,3892.46,0
1506362400000,3900.31,0
1506366000000,3927.62,0
1506369600000,3933.58,0
1506373200000,3947.48,0
1506376800000,3923.72,0
1506380400000,3918.65,0
1506384000000,3922.74,0
1506387600000,3931.5,0
1506391200000,3935.21,0
1506394800000,3904.22,0
1506398400000,3912.16,0
1506402000000,3854.01,0
1506405600000,3890.44,0
1506409200000,3918.6,0
1506412800000,3918.91,0
1506416400000,3925.22,0
1506420000000,3938.68,0
1506423600000,3947.7,0
1506427200000,3954.6,0
1506430800000,3939.6,0
1506434400000,3938.4,0
1506438000000,3926.19,0
1506441600000,3903.54,0
1506445200000,3917.84,0
1506448800000,3909.28,0
1506452400000,3913,0
1506456000000,3907.21,0
1506459600000,3913.03,0
1506463200000,3887.01,0
1506466800000,3886.56,0
1506470400000,3903.72,0
1506474000000,3900.54,0
1506477600000,3907.17,0
1506481200000,3932.72,0
1506484800000,3934.23,0
1506488400000,3941.12,0
1506492000000,3932.78,0
1506495600000,3940.29,0
1506499200000,3932.35,0
1506502800000,3957.7,0
1506506400000,4060.6,0
1506510000000,4074.93,0
1506513600000,4074.18,0
1506517200000,4054.58,0
1506520800000,4090,0
1506524400000,4072.23,0
1506528000000,4084.69,0
1506531600000,4087.96,0
1506535200000,4177.43,0
1506538800000,4186.02,0
1506542400000,4154.51,0
1506546000000,4193.58,0
1506549600000,4199.01,0
1506553200000,4201.48,0
1506556800000,4172.8,0
1506560400000,4173.75,0
1506564000000,4170.36,0
1506567600000,4196.5,0
1506571200000,4246.97,0
1506574800000,4232.75,0
1506578400000,4238.52,0
1506582000000,4227.14,0
1506585600000,4262.63,0
1506589200000,4260.74,0
1506592800000,4172.15,0
1506596400000,4191.75,0
1506600000000,4206.61,0
1506603600000,4190.35,0
1506607200000,4139.48,0
1506610800000,4138.05,0
1506614400000,4157.44,0
1506618000000,4184.01,0
1506621600000,4147.06,0
1506625200000,4149.31,0
1506628800000,4164.67,0
1506632400000,4190.5,0
1506636000000,4176.9,0
1506639600000,4187.14,0
1506643200000,4191.73,0
1506646800000,4152.44,0
1506650400000,4075.05,0
1506654000000,4059.88,0
1506657600000,4080.1,0
1506661200000,4033.2,0
1506664800000,4048.41,0
1506668400000,4096.71,0
1506672000000,4105.32,0
1506675600000,4101.66,0
1506679200000,4151.61,0
1506682800000,4194.8,0
1506686400000,4210.26,0
1506690000000,4182.31,0
1506693600000,4177.33,0
1506697200000,4185.77,0
1506700800000,4200.47,0
1506704400000,4165.88,0
1506708000000,4165.22,0
1506711600000,4165.65,0
1506715200000,4176.77,0
1506718800000,4182.79,0
1506722400000,4162.01,0
1506726000000,4158.1,0
1506729600000,4172.03,0
1506733200000,4200.39,0
1506736800000,4202.26,0
1506740400000,4193.79,0
1506744000000,4194.25,0
1506747600000,4217.47,0
1506751200000,4257.22,0
1506754800000,4285.05,0
1506758400000,4260.73,0
1506762000000,4259.19,0
1506765600000,4268.67,0
1506769200000,4259.13,0
1506772800000,4273,0
1506776400000,4274.29,0
1506780000000,4297.86,0
1506783600000,4325.98,0
1506787200000,4314.02,0
1506790800000,4316.49,0
1506794400000,4332.23,0
1506798000000,4322.13,0
1506801600000,4331.15,0
1506805200000,4307.92,0
1506808800000,4330.52,0
1506812400000,4334.28,0
1506816000000,4335.36,0
1506819600000,4315.31,0
1506823200000,4268.03,0
1506826800000,4293.66,0
1506830400000,4290.48,0
1506834000000,4296.42,0
1506837600000,4302.55,0
1506841200000,4316.92,0
1506844800000,4292.9,0
1506848400000,4288.42,0
1506852000000,4300.78,0
1506855600000,4290.64,0
1506859200000,4255.57,0
1506862800000,4256.88,0
1506866400000,4273.97,0
1506870000000,4288.06,0
1506873600000,4292.65,0
1506877200000,4288.95,0
1506880800000,4297.5,0
1506884400000,4298.59,0
1506888000000,4324.53,0
1506891600000,4334.49,0
1506895200000,4367.88,0
1506898800000,4386.01,0
1506902400000,4418.03,0
1506906000000,4399.19,0
1506909600000,4382.98,0
1506913200000,4395.17,0
1506916800000,4403.67,0
1506920400000,4428.66,0
1506924000000,4426.56,0
1506927600000,4414,0
1506931200000,4434.19,0
1506934800000,4450.83,0
1506938400000,4450.99,0
1506942000000,4389.76,0
1506945600000,4381.51,0
1506949200000,4403.92,0
1506952800000,4420.95,0
1506956400000,4378.65,0
1506960000000,4394.89,0
1506963600000,4373.52,0
1506967200000,4375.05,0
1506970800000,4399.71,0
1506974400000,4385.97,0
1506978000000,4375.12,0
1506981600000,4367.54,0
1506985200000,4392.1,0
1506988800000,4380.2,0
1506992400000,4407.74,0
1506996000000,4412.03,0
1506999600000,4416.65,0
1507003200000,4407.11,0
1507006800000,4305.4,0
1507010400000,4292.39,0
1507014000000,4286.95,0
1507017600000,4330.05,0
1507021200000,4295.14,0
1507024800000,4323,0
1507028400000,4303.75,0
1507032000000,4261.69,0
1507035600000,4245.98,0
1507039200000,4277.89,0
1507042800000,4291.36,0
1507046400000,4273.61,0
1507050000000,4286.35,0
1507053600000,4294.06,0
1507057200000,4271.86,0
1507060800000,4284.47,0
1507064400000,4273.54,0
1507068000000,4297.48,0
1507071600000,4311.91,0
1507075200000,4294.98,0
1507078800000,4304.42,0
1507082400000,4297.28,0
1507086000000,4300.18,0
1507089600000,4306.42,0
1507093200000,4333.95,0
1507096800000,4327.64,0
1507100400000,4330.26,0
1507104000000,4275.8,0
1507107600000,4245.01,0
1507111200000,4238.9,0
